epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2071.08,0.55986,0.44558,0.90403,0.90271,0.90739,0.9365,0.82604,0.48936,0.3673,0.85725,0.00900844,0.00900844,0.00900844
43,2117.15,0.55673,0.43853,0.89956,0.90531,0.9115,0.93728,0.82643,0.48696,0.3618,0.85325,0.00896127,0.00896127,0.00896127
44,2168.76,0.55732,0.44112,0.90103,0.90868,0.90928,0.93532,0.82608,0.48663,0.36601,0.85356,0.00891313,0.00891313,0.00891313
45,2213.91,0.55821,0.43575,0.90028,0.9042,0.90946,0.93246,0.82447,0.49199,0.36729,0.86106,0.00886404,0.00886404,0.00886404
46,2266.95,0.55245,0.43476,0.89969,0.90794,0.90786,0.93441,0.82427,0.49063,0.36438,0.85772,0.00881401,0.00881401,0.00881401
47,2312.1,0.55138,0.42961,0.89639,0.90748,0.90849,0.93597,0.82646,0.4873,0.36339,0.85396,0.00876305,0.00876305,0.00876305
48,2364.78,0.55345,0.434,0.90071,0.90247,0.91421,0.9371,0.82919,0.48297,0.35864,0.85576,0.00871117,0.00871117,0.00871117
49,2408.98,0.54931,0.42732,0.89657,0.9077,0.90614,0.93429,0.82557,0.48546,0.35996,0.8569,0.00865839,0.00865839,0.00865839
50,2462.84,0.5463,0.42719,0.89622,0.90628,0.90935,0.93714,0.82775,0.48117,0.35846,0.85221,0.00860473,0.00860473,0.00860473
51,2506.19,0.54858,0.42732,0.89773,0.90428,0.91287,0.93614,0.8275,0.48192,0.35894,0.85362,0.00855018,0.00855018,0.00855018
52,2560.44,0.54252,0.42697,0.89523,0.92185,0.88969,0.93603,0.82649,0.48312,0.36097,0.85503,0.00849477,0.00849477,0.00849477
53,2603.75,0.54558,0.42539,0.89613,0.90994,0.90352,0.93622,0.82801,0.47857,0.35994,0.85327,0.00843851,0.00843851,0.00843851
54,2659.97,0.54177,0.42154,0.89501,0.90439,0.91437,0.9379,0.83045,0.47733,0.3555,0.85177,0.00838141,0.00838141,0.00838141
55,2703.06,0.54327,0.4236,0.89641,0.92366,0.89203,0.93679,0.83051,0.47519,0.35297,0.84978,0.00832349,0.00832349,0.00832349
56,2758.31,0.53943,0.42315,0.8948,0.90976,0.90675,0.93772,0.83032,0.47507,0.35469,0.85047,0.00826477,0.00826477,0.00826477
